id,video_id,likes,replies,comment,source
1,bear1,2736,82,逆に言うと東京に被害が出ないと本気にならないんよね,youtube
2,bear1,1220,22,2年くらい前に専門家が、あと2年経ったら手に負えなくなるって言っていたような気がするけど、「あぁ確かに、今そうなってるわ。」という感じに。,youtube
3,bear1,223,0,登下校中に子供達が襲われたNEWSとか見たく無いよ... いつか本当に起きそうでこわい...,youtube
4,bear1,105,0,運悪く遭遇したら生きたまま食い殺されるの最悪すぎる,youtube
5,bear1,82,2,東京に出ないと国は動かない。地方差別だと思う,youtube
6,bear1,1439,34,いや猟友会に大金払えよ。,youtube
7,bear1,847,13,いままでマタギの方々がこうならないように事前に補殺してくれてたんだろうねぇ。多すぎるもの,youtube
8,bear1,714,12,ハイキングも呑気に出来ない時代になってしまった.....,youtube
9,bear1,68,0,日の出町、あきる野よく行くけど山でなく街に出て来たら本当に危険! 早く対応してもらわないと取り返しつかなくなる...,youtube
10,bear1,85,2,法律調べたけど日本の猟銃って3発までしか装填出来ない様に改悪されててハンターが仕留め損なったら即、死に繋がる様に手足縛ってる。それでクマが出た時だけ「早く来て撃て」って猟友会は公務員でも無いのに本当に迷惑な話。すべて法律の建付けが悪過ぎる。しかも狩猟用の銃なんか持って無い自衛隊にやらせようとするし。市街地で貫通力高い自動小銃なんか危なくて使えない。ちゃんと軍事的な事も義務教育で教えないからこういう駄目な判断をする。,youtube
11,bear1,693,170,子供が被害に遭うまでどこも本気で対応しようとしないだろうね この国はずっとそう,youtube
12,bear1,851,51,さんざん熊いるところに住んでる方が悪いって言ってる人達は東京に出た熊に対してどう思ってるんやろ.......,youtube
13,bear1,1065,16,人を襲う熊はS級の害獣だろ。,youtube
14,bear1,33,0,住宅地に出たクマを駆除するよう法改正してください。個体数を減らしてください。,youtube
15,bear1,28,0,本当に危険な状況になって来た。,youtube
16,bear1,1199,23,登校危険すぎるやろ,youtube
