id,video_id,likes,replies,comment
1,bear1,2736,82,逆に言うと東京に被害が出ないと本気にならないんよね
2,bear1,1220,22,2年くらい前に専門家が、あと2年経ったら手に負えなくなるって言っていたような気がするけど、「あぁ確かに、今そうなってるわ。」という感じに。
3,bear1,223,0,登下校中に子供達が襲われたNEWSとか見たく無いよ... いつか本当に起きそうでこわい...
4,bear1,105,運悪く遭遇したら生きたまま食い殺されるの最悪すぎる
5,bear1,82,2,東京に出ないと国は動かない。地方差別だと思う
6,bear1,1439,34,いや猟友会に大金払えよ。
7,bear1,847,13,いままでマタギの方々がこうならないように事前に補殺してくれてたんだろうねぇ。多すぎるもの
8,bear1,714,12,ハイキングも呑気に出来ない時代になってしまった.....
9,bear1,68,0,日の出町、あきる野よく行くけど山でなく街に出て来たら本当に危険! 早く対応してもらわないと取り返しつかなくなる...
10,bear1,85,2,法律調べたけど日本の猟銃って3発までしか装填出来ない様に改悪されててハンターが仕留め損なったら即,死に繋がる様に手足縛ってる。それでクマが出た時だけ「早く来て撃て」って猟友会は公務員でも無いのに本当に迷惑な話。すべて法律の建付けが悪過ぎる。しかも狩猟用の銃なんか持って無い自衛隊にやらせようとするし。市街地で貫通力高い自動小銃なんか危なくて使えない。ちゃんと軍事的な事も義務教育で教えないからこういう駄目な判断をする。
11,bear1,693,170,子供が被害に遭うまでどこも本気で対応しようとしないだろうね この国はずっとそう
12,bear1,851,51,さんざん熊いるところに住んでる方が悪いって言ってる人達は東京に出た熊に対してどう思ってるんやろ.......
13,bear1,1065,16,人を襲う熊はS級の害獣だろ。
14,bear1,33,0,住宅地に出たクマを駆除するよう法改正してください。個体数を減らしてください。
15,bear1,28,0,本当に危険な状況になって来た。
16,bear1,1199,23,登校危険すぎるやろ
17,bear1,749,0,いえ東京出没じゃなくても他人事と思った事は一度もありません。亡くなられたお年寄りの方等本心心が痛みます。
18,bear1,919,0,田舎で農業をしている人たちのおかげで毎日新鮮な食べ物が買える。その人たちが熊に襲われているのに、何故国が動かないのだろうか。国の治安を守るということを第一に考えてほしい。確かにクマに罪はない。それでも農家やその地域の子どもにも罪はない。基本は駆除で、保護したい人は自分で保護しに行ったら良いと思う。
19,bear1,42,0,ここまで同じタイミングで一斉に街に流れ出てるの凄いな。ただ熊被害で亡くなる人が増える前に対策してほしい
20,bear1,23,0,以前駆除するの可哀想とか言ってた奴ら、今の状況でも同じこと言えるのかな
21,bear1,1059,37,「柿の木が有ったら危険です」なんて明らかに異常過ぎる状況。御先祖が大昔に植えてくれた柿をクマ如きの為に伐り倒さなくちゃならないとか、地元の方が不憫すぎる。
22,bear1,587,5,もう、通り魔以上だよ! 怖い
23,bear1,689,10,数年前に親戚の隣家のおばさんが襲われて顔面が大きく裂けて今も泣き暮らしてるそうです。駆除を求めます。
24,bear1,56,2,クマにクマ肉の味を覚えさせればクマの増えすぎ問題は自己解決できる
25,bear1,596,29,これ放置ならもはや国の存在意義が問われるよ。国民の命を守らずして何の国家か
26,bear1,397,8,今もし戦争起きても間違いなく国に見捨てられるの何か見えてきたww
27,bear1,582,4,4:20 深夜ならまだしも6時なんて普通に出歩いてる時間帯やん...
28,bear1,8,0,東京の田舎だから... って言ってる人危機感なさすぎる。そこまできてるって事をまず認識した方がいいよ。
29,bear1,316,0,「うわっ!クマや!」って車で撮影しながら追いかけてるけど、その先に歩いてる人おったらどうするんや...


